Symbol,Name,Sector
CMA,Comerica,Financials
CPRT,Copart,Industrials
GLW,Corning,Information Technology
CTVA,Corteva,Materials
COST,Costco,Consumer Staples
COTY,Coty,Consumer Staples
CSX,CSX,Industrials
CMI,Cummins,Industrials
CVS,CVS,Health Care
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita,Health Care
DE,Deere,Industrials
DE,John Deere,Industrials
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy,Energy
DXCM,DexCom,Health Care
DISH,Dish,Communication Services
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DPZ,Domino's,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow,Materials
DTE,DTE,Utilities
DD,DuPont de Nemours,Materials
DXC,DXC,Information Technology
ETFC,ETrade,Financials
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
EIX,Edison,Utilities
EA,Electronic Arts,Communication Services
EA,EA,Communication Services
EMR,EMR,Industrials
ETR,ETR ,Utilities
EOG,EOG,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust Inc.,Real Estate
EVRG,Evergy,Utilities
ES,Eversource,Utilities
EXC,Exelon.,Utilities
EXPE,Expedia,Consumer Discretionary
EXPD,Expeditors,Industrials
EXR,Extra Space Storage,Real Estate
EXR,EXR,Real Estate
XOM,Exxon Mobil,Energy
FFIV,F5 Networks,Information Technology
META,Meta,Communication Services
META,Facebook,Communication Services
FAST,Fastenal,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx,Industrials
FIS,Fidelity,Information Technology
FITB,Fifth Third Bancorp,Financials
FRC,First Republic Bank,Financials
FE,FirstEnergy,Utilities
FISV,Fiserv,Information Technology
FLT,FleetCor,Information Technology
FLIR,FLIR,Information Technology
FLS,Flowserve,Industrials
FMC,FMC,Materials
F,Ford,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FBHS,FBHS,Industrials
FOX,Fox,Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
GPS,Gap,Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GE,GE,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GM,GM,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead,Health Care
GPN,Global Payments,Information Technology
GL,Globe Life,Financials
GS,Goldman Sachs,Financials
GWW,Grainger,Industrials
HRB,H&R Block,Consumer Discretionary
HAL,Halliburton,Energy
HBI,Hanes,Consumer Discretionary
HIG,Hartford Financial,Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA,Health Care
PEAK,Healthpeak,Real Estate
HSIC,Henry Schein,Health Care
HES,Hess,Energy
HPE,Hewlett Packard,Information Technology
HPE,HP,Information Technology
HLT,Hilton,Consumer Discretionary
HFC,HollyFrontier,Energy
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
HRL,Hormel,Consumer Staples
HST,Host Hotels,Real Estate
HWM,Howmet Aerospace,Industrials
HUM,Humana,Health Care
IEX,IDEX,Industrials
IDXX,IDEXX Laboratories,Health Care
INFO,IHS Markit,Industrials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
IR,Ingersoll,Industrials
INTC,Intel,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,IBM,Information Technology
IP,International Paper,Materials
IPG,Interpublic Group,Communication Services
INTU,Intuit,Information Technology
ISRG,Intuitive,Health Care
IVZ,Invesco,Financials
IPGP,IPG Photonics.,Information Technology
IQV,IQVIA Holdings,Health Care
JNJ,Johnson & Johnson,Health Care
JNJ,JNJ,Health Care
JPM,JPMorgan Chase,Financials
JPM,JPMorgan,Financials
JPM,Chase Bank,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KLAC,KLA Corporation,Information Technology
KSS,Kohl's,Consumer Discretionary
KHC,Kraft Heinz,Consumer Staples
KHC,Heinz,Consumer Staples
KR,Kroger,Consumer Staples
LB,L Brands,Consumer Discretionary
LHX,L3Harris,Industrials
LH,Laboratory Corp. of America,Health Care
LRCX,Lam Research,Information Technology
LW,Lamb Weston Holdings Inc,Consumer Staples
LVS,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Consumer Discretionary
LDOS,Leidos Holdings,Information Technology
LEN,Lennar Corp.,Consumer Discretionary
LLY,Eli Lilly,Health Care
LNC,Lincoln National,Financials
LMT,Lockheed Martin,Industrials
L,Loews,Financials
LOW,Lowe's,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank,Financials
MRO,Marathon Oil,Energy
MPC,Marathon Petroleum,Energy
MKTX,MarketAxess,Financials
MAR,Marriott,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta,Materials
MAS,Masco,Industrials
MA,Mastercard,Information Technology
MXIM,Maxim Integrated Products,Information Technology
MKC,McCormick,Consumer Staples
MCD,McDonalds,Consumer Discretionary
MCK,McKesson,Health Care
MDT,Medtronic,Health Care
MET,MetLife,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron,Information Technology
MSFT,Microsoft,Information Technology
TAP,Molson Coors,Consumer Staples
MDLZ,Mondelez,Consumer Staples
MCO,Moody's,Financials
MS,Morgan Stanley,Financials
MSI,Motorola,Information Technology
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NWL,Newell Brands,Consumer Discretionary
NEM,Newmont,Materials
NEE,NextEra Energy,Utilities
NKE,Nike,Consumer Discretionary
NI,NiSource,Utilities
NBL,Noble Energy,Energy
NSC,Norfolk Southern,Industrials
NTRS,Northern Trust,Financials
NOC,Northrop Grumman,Industrials
NLOK,NortonLifeLock,Information Technology
NCLH,Norwegian Cruise Line,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor,Materials
NVDA,Nvidia,Information Technology
NVR,NVR,Consumer Discretionary
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion Freight Line,Industrials
OMC,Omnicom,Communication Services
OKE,ONEOK,Energy
ORCL,Oracle,Information Technology
OTIS,Otis Worldwide,Industrials
PCAR,PACCAR,Industrials
PH,Parker-Hannifin,Industrials
PAYX,Paychex,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
PNR,Pentair,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo,Consumer Staples
PEP,Pepsi,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer,Health Care
PM,Philip Morris,Consumer Staples
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PVH,PVH,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM,Information Technology
PWR,Quanta Services,Industrials
DGX,Quest Diagnostics,Health Care
RL,Ralph Lauren,Consumer Discretionary
RJF,Raymond James,Financials
RTX,Raytheon,Industrials
O,Realty Income Corporation,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial ,Financials
RSG,Republic Services,Industrials
RMD,ResMed,Health Care
RHI,Robert Half International,Industrials
ROK,Rockwell Automation,Industrials
ROL,Rollins,Industrials
ROP,Roper Technologies,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean,Consumer Discretionary
CRM,Salesforce,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger,Energy
STX,Seagate,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group,Real Estate
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Real Estate
SNA,Snap-on,Industrials
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
LUV,Southwest,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks,Consumer Discretionary
STT,State Street Corp.,Financials
STE,STERIS,Health Care
SYF,Synchrony Financial,Financials
SNPS,Synopsys,Information Technology
SYY,Sysco,Consumer Staples
TMUS,TMobile,Communication Services
TROW,T. Rowe Price,Financials
TTWO,TakeTwo,Communication Services
TPR,Tapestry,Consumer Discretionary
TGT,Target,Consumer Discretionary
TSLA,Tesla,
TEL,TE Connectivity,Information Technology
FTI,TechnipFMC,Energy
TDY,Teledyne,Industrials
TFX,Teleflex,Health Care
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
CLX,Clorox,Consumer Staples
HSY,Hershey,Consumer Staples
DIS,Disney,Communication Services
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
TT,Trane Technologies,Industrials
TDG,TransDigm,Industrials
TFC,Truist Financial,Financials
TWTR,Twitter,Communication Services
TWTR,X,Communication Services
TYL,Tyler Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UDR,UDR Inc.,Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UA,Under Armour,Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Airlines,Industrials
UAL,United,Industrials
UNH,United Health Group,Health Care
UPS,United Parcel Service,Industrials
UPS,UPS,Industrials
URI,United Rentals,Industrials
UHS,Universal Health Services,Health Care
UNM,Unum Group,Financials
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas,Real Estate
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon,Communication Services
VRTX,Vertex Pharmaceuticals,Health Care
VFC,VF Corporation,Consumer Discretionary
VIAC,ViacomCBS,Communication Services
V,Visa,Information Technology
VNO,Vornado Realty,Real Estate
VMC,Vulcan Materials,Materials
WBA,Walgreens,Consumer Staples
WMT,Walmart,Consumer Staples
WM,Waste Management,Industrials
WAT,Waters Corporation,Health Care
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WU,Western Union,Information Technology
WRK,WestRock,Materials
WY,Weyerhaeuser,Real Estate
WHR,Whirlpool,Consumer Discretionary
WMB,Williams Companies,Energy
WLTW,Willis Towers Watson,Financials
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XRX,Xerox,Information Technology
XLNX,Xilinx,Information Technology
XYL,Xylem,Industrials
YUM,Yum Brands,Consumer Discretionary
ZBRA,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
sp500,SandP 500,Economy
nasdaq,Nasdaq,Economy
russel2k,Russell 2000,Economy
GLD,Gold,Commodities
AG,Silver,Commodities
BTC,Bitcoin,Commodities
Private,Anthropic,AI
Private,OpenAI,AI
Private,Databricks,AI
